2009-03-30,4517.4601079999975
2014-01-13,14487.116895
2012-09-18,58053.33330200002
2007-12-20,10008.159033
2006-04-28,5727.249892
2013-10-22,-19791.046905000003
2005-04-26,3754.0299200000004
2004-03-26,3925.8300000000004
2005-11-09,4029.63004
2014-12-16,-46354.93264500002
2003-05-13,2568.6301200000003
2009-06-16,22287.572289
2010-02-18,42075.93387399999
2003-02-10,5131.72
2005-08-16,4102.230100000001
2007-01-10,5207.920606
2004-06-03,3733.43004
2003-02-21,5150.580000000001
2010-07-12,37863.47158800001
2006-07-21,4055.23002
2006-09-22,4446.190027999999
2012-12-18,29966.101257000013
2016-01-08,-133455.778762
2015-09-29,-130458.577394
2013-07-15,-25161.40634499998
2015-05-28,-79523.627622
2014-07-30,-19384.63769500001
2005-12-27,4241.42996
2015-01-08,-46082.80247300002
2006-12-06,5061.0306
2008-03-12,7044.360164999998
2010-08-12,42710.123061
2015-12-30,-133393.437717
2006-04-04,6154.6099699999995
2004-12-30,3692.22998
2016-01-20,-135517.49806
2014-05-30,585515.37131
2003-06-09,2796.03006
2013-08-15,-24556.85822999999
2007-09-10,4491.828606
2008-08-21,16881.302219
2013-06-17,-26420.00628999999
2007-02-01,4671.96075
2010-06-14,41288.121694999994
2015-06-19,-79106.48852700001
2015-03-26,-52665.90332300001
2003-05-29,2670.6301200000003
2004-09-23,3709.8300000000004
2004-02-06,3225.03006
2006-07-25,4191.170078
2012-11-09,47899.771789000006
2014-08-28,-1383.1380950000093
2005-05-19,3723.23002
2005-01-20,3690.63004
2016-01-25,-135593.62755300003
2015-03-10,-54854.762857000016
2015-07-28,-81677.34748300002
2010-05-18,44014.97296799999
2015-09-11,-72429.76837
2014-12-30,-45141.04332800002
2011-04-14,59587.54686799999
2013-06-18,-25296.008659999992
2009-02-10,599.9692479999956
2004-06-24,3724.03
2004-01-27,3270.6301200000003
2009-09-22,34730.506583999995
2005-07-27,4252.03004
2004-10-21,3764.2300400000004
2012-03-13,57059.215861000004
2006-03-07,6951.259959999999
2008-01-24,8290.048977
2007-11-29,5443.0324599999985
2007-04-26,4478.228568
2010-03-18,47336.92976300001
2013-01-04,32236.75227700001
2014-10-16,-48252.93828500002
2014-08-29,-1144.336830000013
2004-01-08,3273.6301200000003
2014-04-08,-28332.13233500001
2009-02-17,-439.72791900000357
2011-09-28,47526.775723000006
2012-02-29,58741.776084
2006-12-21,5002.9307260000005
2008-05-06,19568.213128999996
2013-08-06,-23585.906704999987
2004-05-13,3652.02996
2014-03-31,4315.98805
2006-06-23,4909.330019999999
2006-06-13,5042.129962
2013-04-02,94.53288000001339
2008-08-19,17153.111009999997
2015-08-13,-82275.17743300002
2004-10-29,3770.8299800000004
2015-05-08,-84538.568363
2006-04-06,6214.4098699999995
2013-06-28,-27416.457119999992
2007-02-14,4724.060474
2012-08-14,34271.87899100002
2007-10-10,4545.908611999999
2014-04-17,-29125.091470000007
2004-09-24,3717.63
2005-11-01,4062.82994
2014-07-21,-18571.537735000005
2011-07-21,59864.980789999994
2006-07-11,4243.950019999999
2004-05-21,3667.63002
2005-05-05,3798.83
2006-08-14,4166.030089999999
2007-03-13,4375.548594000001
2008-12-16,2560.178608999994
2007-11-12,5149.862681999999
2016-02-01,-134583.83783600005
2007-02-06,4695.860454000001
2008-06-12,18618.271836
2003-12-29,3168.6301200000003
2012-11-30,32201.362309000015
2004-08-13,3577.43004
2014-08-13,-1895.5376400000114
2004-11-30,3751.8300400000007
2007-10-23,4880.65255
2005-11-03,4115.230020000001
2009-02-11,585.140695999994
2013-06-06,-26481.90634499999
2015-07-29,-81627.34795000002
2004-10-19,3772.43004
2007-07-10,4558.148632
2012-10-24,49179.56341800001
2003-09-09,2902.22994
2004-08-04,3605.0299800000003
2010-02-05,40037.692835999995
2012-02-22,61128.19484699999
2006-05-08,5745.19013
2007-09-25,4286.068504
2013-08-19,-25168.40625499998
2011-05-02,62193.665362
2009-07-23,22402.992892
2007-06-15,4580.808612000001
2013-02-14,20893.34252000002
2007-06-11,4581.628624000001
2013-03-07,19806.883650000018
2009-07-17,21337.292266999997
2011-02-15,60630.04341700001
2013-12-26,14129.867340000004
2008-05-30,19829.422273999997
2004-03-17,3925.8300000000004
2015-03-12,-54319.79246500001
2011-07-19,59913.501270000015
2012-02-23,61592.734457000006
2012-02-09,60457.44410000001
2003-04-10,2201.34006
2015-06-02,-79626.768932
2004-01-20,3223.8300000000004
2013-10-15,-20493.196774999997
2006-01-23,4148.62992
2007-05-23,4551.808578
2014-09-09,-1410.5378900000123
2015-11-06,-129844.47776899999
2004-05-10,3624.43002
2011-10-06,48126.526077
2006-05-18,5410.79
2012-09-27,58779.00354200001
2003-09-08,2916.6301200000003
2011-03-04,59246.053978
2014-09-24,-1503.2373050000137
2004-08-27,3653.8300200000003
2002-12-23,5418.39994
2015-08-14,-82253.21802500001
2003-09-11,2898.03006
2010-12-06,56476.344251
2005-07-25,4192.83004
2008-10-22,6705.7100489999975
2009-09-03,30928.425837999996
2005-06-15,3883.0300800000005
2014-02-11,19424.168545
2011-02-01,60009.91187100001
2007-12-18,12244.35014
2012-10-11,57669.22225300001
2006-02-07,6863.239979999999
2014-07-29,-18857.888090000008
2007-06-01,4586.928662
2011-08-03,51621.595539999995
2015-10-05,-130023.88786000002
2006-05-31,5353.450048
2004-04-16,3925.8300000000004
2004-09-15,3699.8300000000004
2015-07-08,-81450.02714500001
2003-10-14,3185.43006
2013-02-28,19484.43205500002
2009-08-06,27272.76621
2003-06-19,2851.8300000000004
2015-09-08,-71814.19852400002
